Gender,Own_Car,Own_Realty,Children,Annual_Income,Income_Type,Education,Marital_Status,Housing_Type,Age,Years_Employed,Family_Size,Occupation_Type,TARGET
M,Y,Y,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,32,12.4,2.0,Unknown,0
M,Y,Y,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,32,12.4,2.0,Unknown,0
M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,58,3.1,2.0,Security staff,0
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52,8.4,1.0,Sales staff,0
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52,8.4,1.0,Sales staff,0
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52,8.4,1.0,Sales staff,0
F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52,8.4,1.0,Sales staff,0
F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,61,0.0,1.0,Unknown,0
F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,61,0.0,1.0,Unknown,0
F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,61,0.0,1.0,Unknown,0
M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,46,2.1,2.0,Accountants,0
M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,46,2.1,2.0,Accountants,0
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48,3.3,2.0,Laborers,0
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48,3.3,2.0,Laborers,0
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48,3.3,2.0,Laborers,0
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48,3.3,2.0,Laborers,0
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48,3.3,2.0,Laborers,0
M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48,3.3,2.0,Laborers,0
F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,29,3.0,2.0,Accountants,0
F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,29,3.0,2.0,Accountants,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27,4.0,2.0,Laborers,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27,4.0,2.0,Laborers,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27,4.0,2.0,Laborers,0
F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,30,4.4,2.0,Unknown,0
F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,30,4.4,2.0,Unknown,0
M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,34,3.2,5.0,Laborers,0
M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,34,3.2,5.0,Laborers,0
M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32,5.5,3.0,Managers,0
M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32,5.5,3.0,Managers,0
M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32,5.5,3.0,Managers,0
M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32,5.5,3.0,Managers,0
M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32,5.5,3.0,Managers,0
M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32,5.5,3.0,Managers,0
M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,12.2,2.0,Drivers,0
M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,12.2,2.0,Drivers,0
M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,12.2,2.0,Drivers,0
M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,12.2,2.0,Drivers,0
M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,12.2,2.0,Drivers,0
M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,12.2,2.0,Drivers,0
